Title,Director,Rating,Cast,Votes
The Idea of You,Michael Showalter,6.4,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo",28744
Kingdom of the Planet of the Apes,Wes Ball,7.3,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon",22248
Unfrosted,Jerry Seinfeld,5.5,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris",18401
The Fall Guy,David Leitch,7.3,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham",38953
Challengers,Luca Guadagnino,7.7,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling",32517
Abigail,Matt Bettinelli-Olpin,6.8,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett",27284
Civil War,Alex Garland,7.5,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman",64014
Anyone But You,Will Gluck,6.1,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis",82215
The Ministry of Ungentlemanly Warfare,Guy Ritchie,7.0,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González",21084
Dune: Part Two,Denis Villeneuve,8.7,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",401659
Gojira -1.0,Takashi Yamazaki,8.0,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura",71109
Ghostbusters: Frozen Empire,Gil Kenan,6.2,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace",39558
Love Lies Bleeding,Rose Glass,6.8,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",20636
The Judge,David Dobkin,7.4,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",204222
Mother of the Bride,Mark Waters,4.9,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt, Rachael Harris",5081
Late Night with the Devil,Cameron Cairnes,7.1,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi",43902
Laapataa Ladies,Kiran Rao,8.5,"Nitanshi Goel, Pratibha Ranta, Sparsh Srivastav, Savita Malviya",20957
War for the Planet of the Apes,Matt Reeves,7.4,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",288425
Monkey Man,Dev Patel,7.0,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik",41857
Shaitaan,Vikas Bahl,6.8,"Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala",41863
Tarot,Spenser Cohen,5.0,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater",3139
Godzilla x Kong: The New Empire,Adam Wingard,6.4,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle",50012
Poor Things,Yorgos Lanthimos,7.9,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef",260730
Arcadian,Benjamin Brewer,5.5,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall",6989
Bullet Train,David Leitch,7.3,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry",433085
Star Wars: Episode I - The Phantom Menace,George Lucas,6.5,"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd",859444
Turtles All the Way Down,Hannah Marks,6.7,"Isabela Merced, Cree, Judy Reyes, Felix Mallard",2491
Rise of the Planet of the Apes,Rupert Wyatt,7.6,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",565131
Oppenheimer,Christopher Nolan,8.3,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",738405
Planet of the Apes,Tim Burton,5.7,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",230536
Dawn of the Planet of the Apes,Matt Reeves,7.6,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",474347
The Iron Claw,Sean Durkin,7.7,"Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney",62061
Back to Black,Sam Taylor-Johnson,6.6,"Marisa Abela, Eddie Marsan, Jack O'Connell, Lesley Manville",6608
The Beekeeper,David Ayer,6.4,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",91835
Road House,Doug Liman,6.2,"Jake Gyllenhaal, Daniela Melchior, Conor McGregor, Billy Magnussen",120266
Argylle,Matthew Vaughn,5.7,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",69537
The Roast of Tom Brady,Tom Brady,7.5,"Kevin Hart, Jeffrey Ross, Drew Bledsoe",2870
Miller's Girl,Jade Halley Bartlett,5.2,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",11405
Dune,Denis Villeneuve,8.0,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",863583
Barbarian,Zach Cregger,7.0,"Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis",185154
The Holdovers,Alexander Payne,7.9,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston",143219
Mad Max: Fury Road,George Miller,8.1,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",1089658
Rebel Moon - Part Two: The Scargiver,Zack Snyder,5.2,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",40001
The Gentlemen,Guy Ritchie,7.8,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",403155
Kung Fu Panda 4,Mike Mitchell,6.3,"Stephanie Stine, Jack Black, Awkwafina, Viola Davis, Dustin Hoffman",37431
The Zone of Interest,Jonathan Glazer,7.4,"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte",88597
The Godfather,Francis Ford Coppola,9.2,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",2017131
Immaculate,Michael Mohan,5.9,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli",23417
Planet of the Apes,Franklin J. Schaffner,8.0,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",195178
Pamyo,Jae-hyun Jang,7.0,"Kim Go-eun, Choi Min-sik, Lee Do-hyun, Yoo Hae-jin",6732
Barbie,Greta Gerwig,6.8,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",540698
Titanic,James Cameron,7.9,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",1283223
In the Land of Saints & Sinners,Robert Lorenz,6.3,"Kerry Condon, Desmond Eastwood, Conor MacNeill, Seamus O'Hara",13555
Where the Crawdads Sing,Olivia Newman,7.2,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn",123825
Rebel Moon - Part One: A Child of Fire,Zack Snyder,5.6,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",118659
Purple Hearts,Elizabeth Allen Rosenbaum,6.7,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim",52977
Arthur the King,Simon Cellan Jones,7.0,"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel",11926
X,Ti West,6.5,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi",174768
"Red, White & Royal Blue",Matthew López,7.0,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave",49181
The Shawshank Redemption,Frank Darabont,9.3,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",2894940
Boy Kills World,Moritz Mohr,6.7,"Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman",3914
Twister,Jan de Bont,6.5,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz",214473
Madame Web,S.J. Clarkson,3.9,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",58183
Anatomie d'une chute,Justine Triet,7.7,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz",126175
Interstellar,Christopher Nolan,8.7,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",2107210
Star Wars,George Lucas,8.6,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",1452280
Saltburn,Emerald Fennell,7.0,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant",208410
Once Upon a Time in... Hollywood,Quentin Tarantino,7.6,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",850820
Dark Waters,Todd Haynes,7.6,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",103239
Land of Bad,William Eubank,6.5,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle",21139
Wish,Chris Buck,5.6,"Fawn Veerasunthorn, Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral",35943
The Equalizer 3,Antoine Fuqua,6.8,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman",118211
Perfect Days,Wim Wenders,7.9,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka",40551
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,8.9,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",2011074
Love,Gaspar Noé,6.1,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",66903
Top Gun: Maverick,Joseph Kosinski,8.2,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",700854
All of Us Strangers,Andrew Haigh,7.7,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell",47842
Killers of the Flower Moon,Martin Scorsese,7.6,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons",242555
The First Omen,Arkasha Stevenson,6.8,"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom",13830
Gladiator,Ridley Scott,8.5,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1623724
Vermines,Sébastien Vanicek,6.4,"Théo Christine, Sofia Lesaffre, Jérôme Niel, Lisa Nyarko",4919
Wonka,Paul King,7.0,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond",143411
Damsel,Juan Carlos Fresnadillo,6.1,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter",83933
The Equalizer,Antoine Fuqua,7.2,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",421706
Pulp Fiction,Quentin Tarantino,8.9,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",2224875
The Peanut Butter Falcon,Tyler Nilson,7.6,"Michael Schwartz, Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern",104193
Inception,Christopher Nolan,8.8,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",2556132
The Dark Knight,Christopher Nolan,9.0,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2876586
Migration,Benjamin Renner,6.7,"Guylo Homsy, Kumail Nanjiani, Tresi Gazal, Elizabeth Banks, Caspar Jennings",25998
Harry Potter and the Sorcerer's Stone,Chris Columbus,7.6,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",857544
The Talented Mr. Ripley,Anthony Minghella,7.4,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett",244908
The Black Phone,Scott Derrickson,6.9,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies",196264
Ghostbusters: Afterlife,Jason Reitman,7.0,"Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace",219924
Ghostbusters,Ivan Reitman,7.8,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",451499
Leave the World Behind,Sam Esmail,6.5,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la",198090
Grease,Randal Kleiser,7.2,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway",301220
The Lord of the Rings: The Return of the King,Peter Jackson,9.0,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1982971
The Great Wall,Yimou Zhang,5.9,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",147052
No Hard Feelings,Gene Stupnitsky,6.4,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick",161650
The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,6.7,"Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell",119878
Manjummel Boys,Chidambaram,8.4,"Soubin Shahir, Sreenath Bhasi, Balu Varghese, Ganapathi",11809
Blended,Frank Coraci,6.5,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon",144747
Schindler's List,Steven Spielberg,9.0,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",1453860
Old,M. Night Shyamalan,5.8,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff",161512
The Mummy,Stephen Sommers,7.1,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",462242
The Matrix,Lana Wachowski,8.7,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",2057554
Forrest Gump,Robert Zemeckis,8.8,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field",2262262
Star Wars: Episode II - Attack of the Clones,George Lucas,6.6,"Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee",760661
The Wolf of Wall Street,Martin Scorsese,8.2,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",1587191
Starship Troopers,Paul Verhoeven,7.3,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey",321992
Sleeping Dogs,Adam Cooper,6.0,"Russell Crowe, Karen Gillan, Marton Csokas, Tommy Flanagan",6893
Bottoms,Emma Seligman,6.7,"Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu",42566
Troy,Wolfgang Petersen,7.3,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover",571625
The Batman,Matt Reeves,7.8,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",789597
Blade Runner 2049,Denis Villeneuve,8.0,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",667544
Talk to Me,Danny Philippou,7.1,"Michael Philippou, Ari McCarthy, Hamish Phillips, Kit Erhart-Bruce, Sarah Brokensha",146213
Dune,David Lynch,6.3,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino",180180
Road House,Rowdy Herrington,6.7,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",101614
Deadpool,Tim Miller,8.0,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",1128298
The Hunger Games,Gary Ross,7.2,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci",1005307
Dream Scenario,Kristoffer Borgli,6.9,"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement",58220
Alien,Ridley Scott,8.5,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",953207
American Fiction,Cord Jefferson,7.5,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander",79565
Humane,Caitlin Cronenberg,5.4,"Jay Baruchel, Emily Hampshire, Peter Gallagher, Enrico Colantoni",2478
Mad Max,George Miller,6.8,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley",223346
12th Fail,Vidhu Vinod Chopra,8.9,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar",113993
The 40 Year Old Virgin,Judd Apatow,7.1,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",468021
Kingdom of Heaven,Ridley Scott,7.3,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",316300
Fight Club,David Fincher,8.8,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",2329551
The Green Mile,Frank Darabont,8.6,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",1410488
The Crow,Alex Proyas,7.5,"Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson",203979
Eileen,William Oldroyd,6.0,"Thomasin McKenzie, Shea Whigham, Sam Nivola, Siobhan Fallon Hogan",11693
Mean Girls,Samantha Jayne,5.7,"Arturo Perez Jr., Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey",27747
Star Wars: Episode IX - The Rise of Skywalker,J.J. Abrams,6.4,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver",494552
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,7.7,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",248849
Cabrini,Alejandro Monteverde,7.6,"Cristiana Dell'Anna, John Lithgow, David Morse, Giancarlo Giannini",4562
Madgaon Express,Kunal Kemmu,7.5,"Divyendu Sharma, Pratik Gandhi, Avinash Tiwary, Nora Fatehi",30042
Mission: Impossible,Brian De Palma,7.2,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny",471052
Wicked Little Letters,Thea Sharrock,7.0,"Jessie Buckley, Olivia Colman, Timothy Spall, Gemma Jones",12179
Deadpool 2,David Leitch,7.6,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",647806
Sixteen Candles,John Hughes,7.0,"Molly Ringwald, Anthony Michael Hall, Justin Henry, Michael Schoeffling",126653
Article 370,Aditya Suhas Jambhale,8.0,"Yami Gautam, Mohan Agashe, Sukhita Aiyar, Raj Arjun",17990
Past Lives,Celine Song,7.9,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah",117294
Animal,Sandeep Reddy Vanga,6.2,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna",90517
Inglourious Basterds,Quentin Tarantino,8.4,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",1588073
Star Wars: Episode III - Revenge of the Sith,George Lucas,7.6,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson",847213
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,8.3,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1123334
Ricky Stanicky,Peter Farrelly,6.2,"Zac Efron, John Cena, Andrew Santino, Riley Stiles",41562
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,8.7,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1382353
Idiocracy,Mike Judge,6.5,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews",183191
Pearl,Ti West,7.0,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland",97982
Gisaengchung,Bong Joon Ho,8.5,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik",963383
John Wick: Chapter 4,Chad Stahelski,7.7,"Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick",335495
Split,M. Night Shyamalan,7.3,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",556215
Napoleon,Ridley Scott,6.4,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett",141732
Everything Everywhere All at Once,Daniel Kwan,7.8,"Daniel Scheinert, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan",535269
Van Helsing,Stephen Sommers,6.1,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley",285359
The Lord of the Rings: The Two Towers,Peter Jackson,8.8,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",1787300
The Silence of the Lambs,Jonathan Demme,8.6,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine",1551542
Midsommar,Ari Aster,7.1,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper",405108
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,8.6,"Kemp Powers, Justin K. Thompson, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",372743
Aquaman and the Lost Kingdom,James Wan,5.6,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard",84745
Triangle of Sadness,Ruben Östlund,7.3,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos",179632
Rogue One,Gareth Edwards,7.8,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",687928
American Beauty,Sam Mendes,8.3,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",1212483
Star Wars: Episode VII - The Force Awakens,J.J. Abrams,7.8,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",975024
Glass,M. Night Shyamalan,6.6,"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy",274828
La chimera,Alice Rohrwacher,7.3,"Josh O'Connor, Carol Duarte, Vincenzo Nemolato, Isabella Rossellini",6423
Good Will Hunting,Gus Van Sant,8.3,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård",1071174
Fifty Shades of Grey,Sam Taylor-Johnson,4.2,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",336245
Lisa Frankenstein,Zelda Williams,6.1,"Kathryn Newton, Liza Soberano, Jenna Davis, Trina LaFargue",15413
Bob Marley: One Love,Reinaldo Marcus Green,6.3,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole",23299
10 Things I Hate About You,Gil Junger,7.3,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik",386594
The Goonies,Richard Donner,7.7,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman",298938
The Voyeurs,Michael Mohan,6.1,"Sydney Sweeney, Justice Smith, Ben Hardy, Natasha Liu Bordizzo",32850
Jurassic World Dominion,Colin Trevorrow,5.6,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill",206329
The Dead Don't Die,Jim Jarmusch,5.5,"Bill Murray, Adam Driver, Tilda Swinton, Tom Waits",85976
Joker,Todd Phillips,8.4,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",1494204
Se7en,David Fincher,8.6,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",1802936
Spider-Man: No Way Home,Jon Watts,8.2,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",882120
The Outsiders,Francis Ford Coppola,7.0,"C. Thomas Howell, Matt Dillon, Ralph Macchio, Patrick Swayze",97882
Promising Young Woman,Emerald Fennell,7.5,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown",212373
Avengers: Endgame,Anthony Russo,8.4,"Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",1269206
Mad Max 2,George Miller,7.6,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps",194524
The Boys in the Boat,George Clooney,6.9,"Joel Edgerton, Callum Turner, Peter Guinness, Sam Strike",16258
The Land That Time Forgot,Kevin Connor,5.6,"Doug McClure, John McEnery, Susan Penhaligon, Keith Barron",7185
Aliens,James Cameron,8.4,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",764536
Jurassic Park,Steven Spielberg,8.2,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",1069332
Gone Girl,David Fincher,8.1,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",1069548
Watchmen,Zack Snyder,7.6,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman",583394
One Life,James Hawes,7.5,"Anthony Hopkins, Lena Olin, Johnny Flynn, Helena Bonham Carter",17329
Heat,Michael Mann,8.3,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",720811
The Matrix Resurrections,Lana Wachowski,5.7,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff",280361
Masterminds,Jared Hess,5.8,"Zach Galifianakis, Owen Wilson, Kristen Wiig, Ross Kimball",60033
Le Cinquième Élément,Luc Besson,7.6,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",507487
Saving Private Ryan,Steven Spielberg,8.6,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns",1498994
Goodfellas,Martin Scorsese,8.7,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",1259899
The Notebook,Nick Cassavetes,7.8,"Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling",621704
Léon,Luc Besson,8.5,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",1248123
No Country for Old Men,Ethan Coen,8.2,"Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",1062693
Steel Magnolias,Herbert Ross,7.3,"Shirley MacLaine, Olympia Dukakis, Sally Field, Julia Roberts",63261
Ford v Ferrari,James Mangold,8.1,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe",477223
The Departed,Martin Scorsese,8.5,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",1424808
Culpa mía,Domingo González,6.2,"Nicole Wallace, Gabriel Guevara, Marta Hazas, Iván Sánchez",23951
Ordinary Angels,Jon Gunn,7.4,"Hilary Swank, Alan Ritchson, Emily Mitchell, Skywalker Hughes",5228
Whiplash,Damien Chazelle,8.5,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",992869
The Big Lebowski,Joel Coen,8.1,"Ethan Coen, Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",861712
Apocalypse Now,Francis Ford Coppola,8.4,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",711514
The Usual Suspects,Bryan Singer,8.5,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",1147333
Mortal Kombat,Simon McQuoid,6.0,"Lewis Tan, Jessica McNamee, Josh Lawson, Joe Taslim",190515
Scoop,Philip Martin,6.5,"Billie Piper, Gillian Anderson, Rufus Sewell, Connor Swindells",14495
Megan Is Missing,Michael Goi,4.6,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer",15610
Top Gun,Tony Scott,6.9,"Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer",503693
Baby Driver,Edgar Wright,7.5,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",613038
Spaceman,Johan Renck,5.7,"Adam Sandler, Carey Mulligan, Paul Dano, Kunal Nayyar",33226
Braveheart,Mel Gibson,8.3,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",1092868
Requiem for a Dream,Darren Aronofsky,8.3,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",900196
Hellboy,Neil Marshall,5.3,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane",99192
La La Land,Damien Chazelle,8.0,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",673873
Twilight,Catherine Hardwicke,5.3,"Kristen Stewart, Robert Pattinson, Billy Burke, Sarah Clarke",488327
Dead Poets Society,Peter Weir,8.1,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",547773
Star Wars: Episode VIII - The Last Jedi,Rian Johnson,6.9,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher",673165
Mean Girls,Mark Waters,7.1,"Lindsay Lohan, Jonathan Bennett, Rachel McAdams, Tina Fey",436239
No Time to Die,Cary Joji Fukunaga,7.3,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux",445676
Guardians of the Galaxy Vol. 3,James Gunn,7.9,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff",382236
Family Star,Parasuram,5.1,"Vijay Deverakonda, Mrunal Thakur, Divyansha Kaushik, Abhinaya",2765
Gummo,Harmony Korine,6.6,"Nick Sutton, Jacob Sewell, Lara Tosh, Jacob Reynolds",38336
